[2025-07-28 15:56:37] [INFO] Starting Velociraptor Setup Scripts Release Pipeline
[2025-07-28 15:58:26] [WARNING] Issues found in Fork-VelociraptorEcosystem.ps1: 8
[2025-07-28 15:58:26] [WARNING] Issues found in Publish-Release.ps1: 63
[2025-07-28 15:58:26] [WARNING] Issues found in Quick-CodeFix.ps1: 22
[2025-07-28 15:58:26] [WARNING] Issues found in Release-Pipeline.ps1: 20
[2025-07-28 15:58:26] [WARNING] Issues found in Test-CodeQuality.ps1: 5
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-VelociraptorCluster.ps1: 54
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-VelociraptorEnvironment.ps1: 4
[2025-07-28 15:58:26] [WARNING] Issues found in Manage-VelociraptorConfig.ps1: 10
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-VelociraptorLinux.ps1: 50
[2025-07-28 15:58:26] [WARNING] Issues found in Start-VelociraptorMonitoring.ps1: 28
[2025-07-28 15:58:26] [WARNING] Issues found in Set-VelociraptorSecurityBaseline.ps1: 53
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy_Velociraptor_Server.ps1: 3
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy_Velociraptor_Standalone.ps1: 7
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-NetworkIntrusion.ps1: 7
[2025-07-28 15:58:26] [WARNING] Issues found in IncidentResponseGUI.ps1: 8
[2025-07-28 15:58:26] [WARNING] Issues found in VelociraptorGUI-Original-Backup.ps1: 54
[2025-07-28 15:58:26] [WARNING] Issues found in VelociraptorGUI.ps1: 84
[2025-07-28 15:58:26] [WARNING] Issues found in Add-VelociraptorFirewallRule.ps1: 2
[2025-07-28 15:58:26] [WARNING] Issues found in Backup-VelociraptorConfiguration.ps1: 1
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-VelociraptorEdge.ps1: 77
[2025-07-28 15:58:26] [WARNING] Issues found in Deploy-VelociraptorServerless.ps1: 53
[2025-07-28 15:58:26] [WARNING] Issues found in Enable-VelociraptorHPC.ps1: 82
[2025-07-28 15:58:27] [WARNING] Issues found in Invoke-VelociraptorAPI.ps1: 7
[2025-07-28 15:58:27] [WARNING] Issues found in Invoke-VelociraptorDownload.ps1: 2
[2025-07-28 15:58:27] [WARNING] Issues found in Manage-VelociraptorCollections.ps1: 11
[2025-07-28 15:58:27] [WARNING] Issues found in New-ArtifactToolManager.ps1: 20
[2025-07-28 15:58:27] [WARNING] Issues found in New-IntelligentConfiguration.ps1: 44
[2025-07-28 15:58:27] [WARNING] Issues found in New-VelociraptorConfigurationTemplate.ps1: 8
[2025-07-28 15:58:27] [WARNING] Issues found in Read-VelociraptorUserInput.ps1: 1
[2025-07-28 15:58:27] [WARNING] Issues found in Restore-VelociraptorConfiguration.ps1: 2
[2025-07-28 15:58:27] [WARNING] Issues found in Set-VelociraptorSecurityHardening.ps1: 3
[2025-07-28 15:58:27] [WARNING] Issues found in Start-AutomatedTroubleshooting.ps1: 76
[2025-07-28 15:58:27] [WARNING] Issues found in Start-PredictiveAnalytics.ps1: 61
[2025-07-28 15:58:27] [WARNING] Issues found in Test-VelociraptorAdminPrivileges.ps1: 8
[2025-07-28 15:58:27] [WARNING] Issues found in Test-VelociraptorConfiguration.ps1: 4
[2025-07-28 15:58:27] [WARNING] Issues found in Test-VelociraptorHealth.ps1: 7
[2025-07-28 15:58:27] [WARNING] Issues found in Test-VelociraptorInternetConnection.ps1: 3
[2025-07-28 15:58:27] [WARNING] Issues found in Write-VelociraptorLog.ps1: 7
